"Filename",203_1.mzML,206_1.mzML,205_1.mzML,203_2.mzML,205_2.mzML,206_2.mzML,202_3.mzML,203_3.mzML,208_2.mzML,207_2.mzML,209_2.mzML,211_1.mzML,210_1.mzML,209_1.mzML,202_1.mzML,207_1.mzML,212_1.mzML,212_2.mzML,211_2.mzML,208_1.mzML,213_1.mzML,213_3.mzML,210_2.mzML,204_1.mzML,202_2.mzML,213_2.mzML,204_2.mzML
178/388.2550mz/1.35min,703674.1875,769574.9375,775167.875,423944.09375,836122.6875,828132.875,1163186.375,424176.03125,818909.0,1099724.875,765961.9375,654093.0,1190726.625,837718.8125,773709.875,749710.875,1033446.25,622375.3125,801803.5,792190.6875,1021262.5,660590.9375,1272610.25,2303729.0,2534943.75,625304.5,4104085.25
179/Spectral Match to 1-Amino-2-ethoxybenzene from NIST14/121.0650mz/1.35min,,,,,,,,,,,,,,,,,,,,,,,,645400.0,615341.625,,1412004.875
180/144.0811mz/1.35min,459033.59375,476508.125,285014.59375,335497.90625,361641.0,529808.875,561994.9375,318360.53125,446084.09375,695291.1875,387892.5625,444721.71875,653398.625,429925.0625,458225.65625,500036.0625,750735.3125,,473649.0625,435350.40625,568477.8125,484547.625,641246.625,1576751.75,2280206.5,276103.0,2815157.0
181/393.2105mz/1.36min,93873.984375,273453.03125,262321.5,,281639.8125,287746.375,633886.4375,,305186.4375,481303.65625,217665.578125,311877.15625,489231.5625,258379.03125,,,419745.84375,186488.265625,289653.65625,177285.234375,342131.84375,153377.640625,536436.8125,1102664.375,1064329.0,179035.359375,1736090.125
182/3S_2349_Tetrahydro_1h_pyrido_34b_indole_carboxylic_acid/217.0975mz/1.36min,299871.21875,384169.46875,,,221412.75,367611.0625,451553.53125,,267593.875,595952.3125,309665.25,326906.3125,526038.9375,347941.96875,388997.71875,340884.625,399531.9375,,307760.6875,336153.59375,363933.71875,345347.125,466061.78125,728182.3125,750391.9375,126306.5,854139.5625
"183/""""""4-Allyl-2,6-dimethoxyphenol CollisionEnergy:102040""""""/195.1020mz/1.37min",,,,,,,381759.65625,,,,,,,,392271.0,,,,,,,,,,,,
184/N-acetyltyramine/180.1023mz/1.37min,,,,,,,,,,,,,,,,,,,,,,,,,319040.5625,,361835.71875
185/171.0655mz/1.37min,,,,334356.03125,156399.828125,,,,,,,,,,,,,,,,,,,,,,
186/313.1403mz/1.39min,,,,,,,,,,380785.59375,,210244.328125,,,,,,,,,,,,,,,
188/160.1336mz/1.41min,,,,,,,,,,373366.375,,,,,,252557.515625,338614.34375,,,,348497.5625,,,,,,
189/159.0292mz/1.41min,,,,,,,,,,,,262528.9375,,,,,,,297736.9375,,,,,,,,
190/141.0186mz/1.42min,,,,,,,,,,,,309293.59375,,,,,,,320941.84375,,,,,,,,
191/557.3309mz/1.42min,,,,,,,,,226908.03125,,,,,,422088.5,,,,,216273.65625,,,,,,,
192/504.3041mz/1.44min,,,,,,,552412.0625,,,,,,,,827599.8125,,,,,,,,,,,,
193/RIBOFLAVIN/377.1467mz/1.46min,,,,,,185130.484375,912044.125,,296846.0625,,,,402830.8125,,1031015.5625,211630.59375,199316.40625,,,231708.375,,,356522.53125,1000648.8125,226857.21875,,
194/581.1518mz/1.47min,,247415.484375,,,246338.21875,,,,,228635.1875,,,179819.5,,,,235310.375,,,,,,,,,,
195/403.2326mz/1.48min,317604.0,,,369774.0,,,,302451.78125,,,,,,,,,,,,,,,,,,,
197/214.0867mz/1.48min,408896.0,,,,,,,,,466824.75,,,,,,,,,,,,,,,,,
198/528.2864mz/1.48min,,,,,,,,,811534.8125,,,,,,730437.25,,,,,518686.125,,,,,,,
199/166.0866mz/1.48min,,,,,175793.296875,146360.390625,143949.890625,,,,,,201345.34375,,206955.359375,,160941.546875,,,,,,,,,,
200/5470-37-1 CollisionEnergy:102040/231.1133mz/1.49min,1707153.5,1136304.5,406761.125,1245079.375,1132301.125,1153719.5,,1653331.75,941755.6875,1886234.75,836925.0625,662284.5,1123707.25,896556.5,,1100412.5,1113097.875,237037.96875,730486.5,839986.625,880254.3125,442305.5,1159360.875,698940.1875,774597.0,276991.90625,908190.5
201/158.0968mz/1.49min,687076.4375,425955.8125,200297.703125,460679.125,383438.15625,439083.3125,,669491.0,,734590.25,,,403410.5,193388.59375,,435456.4375,341818.15625,,,198752.15625,,,402745.65625,,,,
202/458.2623mz/1.49min,,,,,,,,,318817.875,,,,,,1015404.125,,,,,314520.5,,,,352365.1875,,,
203/401.1602mz/1.50min,,,,,,,,,,,,,,,,,,,,,,,,,376860.09375,,467307.375
204/362.2424mz/1.50min,268509.0625,191288.78125,401977.1875,288148.6875,,,,,,,,212249.46875,279419.8125,262992.59375,237226.0,175979.484375,,344465.96875,268266.65625,,176950.28125,249709.0,530615.625,,,248534.203125,
205/Succinic acid/101.0234mz/1.50min,267107.4375,371978.0,,,,423137.1875,,255224.5625,506400.53125,808519.75,,,343921.9375,466902.15625,,291332.15625,237873.71875,,259291.875,575799.25,215414.078125,207740.59375,268003.1875,,,,
206/445.3033mz/1.51min,,,,,,,,244156.328125,,,,,,,249657.703125,,,,,,,,,300992.125,,,
207/591.3371mz/1.52min,,,,,,,318691.4375,,,,,,,,1252506.625,,,,,,,,,,,,
208/382.1981mz/1.54min,,,199377.09375,,,,,358041.28125,,,213733.71875,,,238847.40625,,249348.09375,,,,,,278781.6875,,,,,
209/Vanillic acid CollisionEnergy:205060/169.0499mz/1.54min,,,,364850.78125,209787.265625,,,,,,,,,,,,251825.71875,,,,217384.453125,,,,,,
211/579.8055mz/1.55min,,,,,,,248288.265625,,,,,,,,844073.3125,,,,,,,,,,,,
212/227.0922mz/1.56min,,251291.640625,,389792.09375,284231.125,,,33236.8125,216379.9375,325820.0,230653.03125,159302.03125,264160.25,256627.984375,,203672.203125,280898.21875,,206115.578125,176819.609375,,210740.203125,258049.5,442489.125,573548.3125,76944.9453125,702831.8125
"213/""""""3,5-DIMETHOXYPHENOL""""""/155.0706mz/1.56min",,184583.328125,,334972.375,,,,,,,201923.625,,252853.0625,,,,288507.53125,,,,214207.890625,200049.6875,225334.796875,,,67807.203125,
216/Spectral Match to Nonaethylene glycol from NIST14 [IIN-based on: CCMSLIB00003135822]/432.2815mz/1.62min,1222646.25,1054929.5,1078975.75,1083599.75,1231072.75,1101727.0,1485232.875,781873.9375,1062521.25,1268504.0,1113028.75,932363.3125,1468663.5,974848.4375,996548.4375,1023171.0625,1327325.625,861935.5625,1013704.25,991875.5625,1329838.125,893957.0625,1535662.625,2975369.75,3794586.0,880899.75,5493746.0
217/437.2371mz/1.62min,368045.0,,286507.125,288176.5,313366.90625,248944.890625,369821.5,,288600.78125,487150.3125,,212378.296875,450371.84375,258816.4375,,220469.515625,388026.9375,112440.8984375,249038.640625,188976.90625,,,480030.21875,819759.75,995892.25,148911.0,1346101.0
218/Spectral Match to Nonaethylene glycol from NIST14/415.2547mz/1.62min,,,,,,,,,,121394.078125,,,,,,133326.859375,231573.78125,,,,,,245558.0625,589120.5,777400.75,90137.9453125,1163364.0
